TYPEHUQ,HDD30YR,CDD30YR,BEDROOMS,NCOMBATH,TOTROOMS,CELLAR,GARGHEAT,HEATROOM,ACROOMS,USECENAC,TEMPNITEAC,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,KWHCOL,KWHRFG,KWHOTH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,DOLLAREL
5,3225,1526,4,2,7,-2,-2,7,7,3,71,2831,2831,2831,12634,4332.86,1160.04,7141.11,399.54,0.00,106.97,658.49,1165
5,5826,643,-2,1,1,-2,-2,1,1,1,-2,527,527,527,4818,149.45,1438.10,3230.45,17.22,0.00,165.71,372.23,555
2,7306,441,4,2,8,1,0,8,-2,-2,-2,3744,2144,0,8429,0.00,1615.92,6813.08,0.00,0.00,210.11,885.89,1096
3,1452,903,3,2,5,0,-2,5,-2,-2,-2,1131,1131,0,2840,0.00,448.58,2391.43,0.00,0.00,57.97,309.03,367
5,4371,1176,2,1,4,-2,-2,4,4,1,-2,834,834,834,4369,331.87,924.70,3112.43,26.21,0.00,73.02,245.77,345
1,4464,1188,3,1,5,-2,-2,4,4,3,78,1120,896,896,22070,1221.93,932.59,11044.52,95.40,295.78,72.81,862.24,1723
2,2991,1632,3,2,6,0,0,6,6,3,70,1820,1420,1420,14517,3211.00,2369.57,8360.06,367.84,0.00,271.45,957.69,1663
5,4604,1229,-2,1,1,-2,-2,1,-2,-2,-2,1188,1188,0,1634,0.00,797.23,836.77,0.00,0.00,136.61,143.39,280
2,4539,1684,2,1,5,0,-2,4,4,1,-2,846,677,677,1572,76.20,190.74,649.74,12.07,0.00,30.21,102.92,249
3,2386,2747,3,2,5,0,-2,5,5,2,73,1564,1564,1564,12914,2991.95,1051.30,4465.09,370.46,261.28,130.17,552.86,1599
4,4616,1178,2,1,7,0,-2,7,-2,-2,-2,806,806,115,3685,156.79,828.45,986.28,38.29,418.49,202.33,240.88,900
2,1290,2937,4,2,10,0,-2,10,10,3,78,2403,2403,2403,17752,5401.06,1626.17,6059.97,750.59,419.76,225.99,842.16,2467
2,2892,1905,3,2,5,0,-2,5,5,1,-2,1372,1372,1372,7151,981.61,1027.92,5141.47,129.45,0.00,135.55,678.00,943
2,2414,2553,4,2,9,0,0,9,9,3,74,3841,3191,3191,20079,7013.03,2044.00,10656.55,895.88,0.00,261.11,1361.33,2565
2,2327,2645,4,2,7,0,0,5,7,3,75,2800,1714,2400,14668,3552.26,760.97,10354.77,495.50,0.00,106.15,1444.36,2046
2,6367,559,3,1,7,0,0,6,-2,-2,-2,1748,1155,770,16129,1612.50,1665.49,12186.15,307.62,0.00,317.73,2324.80,3077
2,5697,863,2,1,6,1,-2,6,-2,-2,-2,2304,2304,0,4468,0.00,380.52,4087.48,0.00,0.00,47.69,512.31,560
2,6839,434,3,1,5,1,0,4,-2,-2,-2,2116,1437,558,42687,473.37,2142.77,28070.52,89.96,1997.91,407.20,5334.37,8112
4,5252,1033,3,1,5,1,-2,5,-2,-2,-2,1770,1180,472,22657,1138.62,943.15,11090.57,121.01,555.41,100.24,1178.71,2408
2,2260,2731,2,1,4,0,-2,4,4,2,75,1323,1323,1323,14287,3246.91,726.31,3635.38,402.03,472.88,89.93,450.13,1769
5,3349,1931,2,2,4,-2,-2,4,-2,-2,-2,1209,1209,907,8490,2684.77,689.55,1609.37,250.45,127.16,64.33,150.13,792
2,5354,951,3,1,5,0,-2,5,-2,-2,-2,1518,1518,304,3305,228.88,580.34,2495.78,20.57,0.00,52.15,224.28,297
2,1187,1156,3,2,5,0,-2,5,5,1,-2,1155,1155,1155,8532,403.24,1258.65,5683.84,72.83,0.00,227.33,1026.58,1541
2,183,3984,3,2,6,0,0,6,6,3,76,2040,1640,1640,11649,4651.39,864.23,4631.63,572.99,123.61,106.46,570.55,1435
5,2903,116,1,1,2,-2,-2,2,-2,-2,-2,693,693,0,4381,0.00,827.40,1354.78,0.00,0.00,111.05,181.83,588
5,8879,538,2,2,4,-2,-2,3,-2,-2,-2,1069,802,267,3070,72.02,295.12,1241.41,8.77,0.00,35.95,151.23,374
5,1227,3662,2,2,4,-2,-2,-2,4,3,66,947,0,947,9398,3097.94,1090.74,5209.33,394.25,0.00,138.81,662.95,1196
2,3286,2152,4,1,6,0,-2,6,5,3,72,1200,1200,1200,16186,2834.93,1143.64,12207.43,282.34,0.00,113.90,1215.77,1612
2,1413,3264,3,2,6,0,0,3,3,1,-2,2214,907,907,6618,1292.40,870.00,2435.25,169.12,138.08,113.84,318.67,866
5,4729,1112,-2,1,1,-2,-2,1,-2,-2,-2,517,517,517,4230,141.64,661.89,949.09,24.31,0.00,113.60,162.89,726
2,2744,2092,3,2,5,0,0,5,5,3,80,2092,1842,1842,9728,2598.54,602.79,6526.67,323.22,0.00,74.98,811.81,1210
5,4713,1146,1,1,3,-2,-2,3,-2,-2,-2,452,452,151,2058,112.95,395.85,1549.20,36.72,0.00,128.68,503.60,669
2,3091,1726,4,2,8,1,-2,8,8,3,70,4620,3080,3080,27067,5588.79,2720.78,18298.53,604.57,0.00,294.32,1979.46,2928
2,6107,828,3,1,10,0,-2,5,-2,-2,-2,3604,1802,1081,11226,726.39,1243.40,7021.42,64.38,198.08,110.21,622.33,995
1,6291,651,2,1,4,-2,-2,4,-2,-2,-2,840,840,420,4475,123.09,730.44,2171.55,22.09,260.18,131.07,389.67,803
4,6143,695,1,1,3,0,-2,3,-2,-2,-2,694,694,0,3223,0.00,582.26,2640.75,0.00,0.00,97.01,439.99,537
